product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit;dias_uteis;qtd_dia;qtd_dia_10000;varia_dia_media;varia_dia_abs;qtd_med;desv_pad
1043;67561B;LUBRAX AVANTE 10W40 CI4 SINTETICO BD-20L;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1043;67561B;LUBRAX AVANTE 10W40 CI4 SINTETICO BD-20L;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1043;67561B;LUBRAX AVANTE 10W40 CI4 SINTETICO BD-20L;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1043;67561B;LUBRAX AVANTE 10W40 CI4 SINTETICO BD-20L;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1043;67561B;LUBRAX AVANTE 10W40 CI4 SINTETICO BD-20L;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1044;67597L;LUBRAX GL-5 SAE 140 BD-20L;01/01/2024;1;2024;55795;112;498;22;5,09091;50909;0;0;174,00000;54,73207
1044;67597L;LUBRAX GL-5 SAE 140 BD-20L;01/02/2024;2;2024;69488;144;482;19;7,57895;75789;14887;12857;174,00000;54,73207
1044;67597L;LUBRAX GL-5 SAE 140 BD-20L;01/03/2024;3;2024;92176;194;475;21;9,23810;92380;12189;13472;174,00000;54,73207
1044;67597L;LUBRAX GL-5 SAE 140 BD-20L;01/04/2024;4;2024;110068;242;454;22;11,00000;110000;11907;12474;174,00000;54,73207
1044;67597L;LUBRAX GL-5 SAE 140 BD-20L;01/05/2024;5;2024;99586;227;438;22;10,31818;103181;9380;9380;174,00000;54,73207
1044;67597L;LUBRAX GL-5 SAE 140 BD-20L;01/06/2024;6;2024;55929;125;447;20;6,25000;62500;6057;5506;174,00000;54,73207
1045;67598M;LUBRAX TRM-5 GL-5 85W140 BD-20L;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;2,33333;2,73252
1045;67598M;LUBRAX TRM-5 GL-5 85W140 BD-20L;01/02/2024;2;2024;3269;5;653;19;0,26316;2631;0;0;2,33333;2,73252
1045;67598M;LUBRAX TRM-5 GL-5 85W140 BD-20L;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;2,33333;2,73252
1045;67598M;LUBRAX TRM-5 GL-5 85W140 BD-20L;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;2,33333;2,73252
