product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit
1180;173154H;LUBRAX UTILE PA 15 BD-20L;01/01/2024;1;2024;0;0;0
1181;173508X;LUBRAX UTILE FPX 68 BD-20L;01/01/2024;1;2024;0;0;0
1182;173509Y;LUBRAX UTILE OT 32TB-200L;01/01/2024;1;2024;0;0;0
1183;174453G;LUBRAX COMPSOR PAO 32BD-20L;01/01/2024;1;2024;0;0;0
1184;174537M;LUBRAX EXTRA TURBO CH-4 15W401-LITRO;01/01/2024;1;2024;42797,71;77;555
1185;174539O;LUBRAX EXTRA TURBO CH-4 15W40 3-LITRO;01/01/2024;1;2024;65800,56;165;398
1186;174541Q;LUBRAX EXTRA TURBO CH-4 15W40 BD-20L;01/01/2024;1;2024;39194,06;96;408
1187;174543S;LUBRAX EXTRA TURBO CH-4 15W40 TB-200L;01/01/2024;1;2024;0;0;0
1188;174577A;LUBRAX AV 70 IN MINERAL TB-200L;01/01/2024;1;2024;0;0;0
1189;174855S;LUBRAX VALORA SN PLUS 0W201-LITRO;01/01/2024;1;2024;85967,64;107;803
1190;174856T;LUBRAX VALORA SN PLUS 5W301-LITRO;01/01/2024;1;2024;511777,52;847;604
1191;175343M;LUBRAX COMPSOR XP 46 BD-20L;01/01/2024;1;2024;0;0;0
1192;175345O;LUBRAX COMPSOR XP 68 BD-20L;01/01/2024;1;2024;0;0;0
1193;175809K;LUBRAX ATF TDXDEXRON III C-4 1-LITRO;01/01/2024;1;2024;4938,2;6;823
1194;176660D;LUBRAX CVTF SINTETICO 1-LITRO;01/01/2024;1;2024;0;0;0
1195;177058L;LUBRAX TURBO ME SAE 40 BD-20L;01/01/2024;1;2024;0;0;0
1196;177059M;LUBRAX TURBO ME SAE 40 TB-200L;01/01/2024;1;2024;0;0;0
1197;178214X;LUBRAX TURBO ME 50BD-20L;01/01/2024;1;2024;41501,86;80;518
1198;180186T;LUBRAX TURBINA EP 68 TB-200L;01/01/2024;1;2024;0;0;0
1199;182080P;LUBRAX UTILE FPX 100 BD-20L;01/01/2024;1;2024;0;0;0
1200;182656T;LUBRAX ESSENCIAL GF-5 SN 10W303-LITROS;01/01/2024;1;2024;0;0;0
1201;183746R;LUBRAX ESSENCIAL 20W50 SL TB-200L;01/01/2024;1;2024;0;0;0
1202;185923K;LUBRAX TURBO ME SAE 40 BD-20L;01/01/2024;1;2024;108289,71;247;438
1203;186517G;LUBRAX VALORA SN PLUS 0W20 TB-200L;01/01/2024;1;2024;0;0;0
1204;191820F;LUBRAX CVTF SINTETICO 1-LITRO;01/01/2024;1;2024;12619,76;21;600
1205;199395O;LUBRAX SUPERA FLEX 5W40 SN SINTET 1-LT;01/01/2024;1;2024;14949,93;32;467
1206;199495K;LUBRAX HYDRA 68 - BD-20L;01/01/2024;1;2024;701688,4;2289;306
1207;267215A;LUBRAX UNITRACTOR PREMIUM 10W30 BD-20L;01/01/2024;1;2024;0;0;0
1208;267216B;LUBRAX UTILE FPX 220 TB-200L;01/01/2024;1;2024;0;0;0
1209;267217C;LUBRAX LITH EP 2/3TB-170KG;01/01/2024;1;2024;0;0;0
1210;267220F;LUBRAX BETUMEN 500 TB-170K;01/01/2024;1;2024;0;0;0
1211;267221G;LUBRAX CALCIUM GR 2 TB-170KG;01/01/2024;1;2024;9660;2;4830
1212;267222H;LUBRAX GRANS THF 10W-30 TB-200L;01/01/2024;1;2024;0;0;0
1213;267223I;LUBRAX COMPSOR AC 100TB-200L;01/01/2024;1;2024;0;0;0
1214;267224J;LUBRAX OB 29 - TB-200L;01/01/2024;1;2024;38109,4;10;3810
1215;267336R;LUBRAX UTILE CIV 1500 - TB-200L;01/01/2024;1;2024;0;0;0
1216;267340V;LUBRAX TURBO ME SAE 40 1-LITRO;01/01/2024;1;2024;9407,92;14;671
1217;267641K;LUBRAX TURBINA X 68 TB-200L;01/01/2024;1;2024;0;0;0
1218;267643M;LUBRAX TURBINA X 68 BD-20L;01/01/2024;1;2024;1051,18;2;525
1219;268266L;LUBRAX UTILE FPX 150 BD-20L;01/01/2024;1;2024;1657,29;3;552
1220;268291K;LUBRAX GAS MA 40 TB-200L;01/01/2024;1;2024;40200;7;5742
1221;271042F;LUBRAX GAS LDI 40 TB-200L;01/01/2024;1;2024;0;0;0
1222;271108T;LUBRAX UTILE OT 46TB-200L;01/01/2024;1;2024;0;0;0
1223;271110V;LUBRAX UTILE FPX 220 - BD-20L;01/01/2024;1;2024;4658,5;8;582
1224;271112X;LUBRAX UTILE OT 100TB-200L;01/01/2024;1;2024;20286,12;4;5071
1225;271114Z;LUBRAX GRAXA LITH 2 TB-170 KG;01/01/2024;1;2024;6250;1;6250
1226;271117C;LUBRAX TURBO DD BD-20L;01/01/2024;1;2024;0;0;0
1227;271118D;LUBRAX GRAXA LITH 00 TB-170 KG;01/01/2024;1;2024;0;0;0
1228;271119E;LUBRAX VALORA SN PLUS 5W30 TB-200L;01/01/2024;1;2024;9915,77;2;4957
1229;271121G;LUBRAX GEAR 320TB-200L;01/01/2024;1;2024;0;0;0
1230;271122H;LUBRAX TURBO ME 50TB-200L;01/01/2024;1;2024;0;0;0
1231;271123I;LUBRAX LITHPLUS EP 2 TB-170KG;01/01/2024;1;2024;0;0;0
1232;271124J;LUBRAX UTILE FPX 150 TB-200L;01/01/2024;1;2024;0;0;0
1233;271125K;LUBRAX GEAR PAO 460 BD-20L;01/01/2024;1;2024;0;0;0
1234;271126L;LUBRAX GEAR PAO 220 BD-20L;01/01/2024;1;2024;0;0;0
1235;271260P;LUBRAX TURBINA X 46 TB-200L;01/01/2024;1;2024;0;0;0
1236;273333I;LUBRAX BETUMEN 300 BD-18KG;01/01/2024;1;2024;850,58;2;425
1237;273334J;LUBRAX BETUMEN 300TB-170KG;01/01/2024;1;2024;0;0;0
1238;273335K;LUBRAX BETUMEN 500 BD-18KG;01/01/2024;1;2024;450;1;450
1239;273336L;LUBRAX ATF HD SINTETICO TB-200L;01/01/2024;1;2024;0;0;0
1240;274384T;LUBRAX SUPERA FLEX 5W40 SN TB-200L;01/01/2024;1;2024;0;0;0
1241;275940P;LUBRAX GRANS TAC4 50 - BD-20L;01/01/2024;1;2024;7197,32;13;553
1242;276406N;LUBRAX ATF DX6 1-LITRO;01/01/2024;1;2024;49690,05;105;473
1243;277842T;LUBRAX GOLD ST 75W90 BD-20L;01/01/2024;1;2024;0;0;0
1244;277843U;LUBRAX GOLD 80W90 TB-200L;01/01/2024;1;2024;0;0;0
1245;328863C;LUBRAX ESSENCIAL 2T API TC MIN. 1-LITRO;01/01/2024;1;2024;10103,52;16;631
1246;328889C;LUBRAX GL-5 LS 80W90 TB-200L;01/01/2024;1;2024;0;0;0
1247;329805I;LUBRAX MOTO 4T 20W50 SL 1-LITRO;01/01/2024;1;2024;864743,05;1930;448
1248;330905Q;LUBRAX TECNO PROF. SN 10W30 1-LITRO;01/01/2024;1;2024;8429,3;12;702
1249;330921G;LUBRAX VALORA OFFROAD 5W30 SN 3-LITROS;01/01/2024;1;2024;52694,31;91;579
1250;330923I;LUBRAX VALORA OFFROAD 5W30 SN 1-LITROS;01/01/2024;1;2024;271648,17;347;782
